StateA,State,District,Year,Dcandidate,Rcandidate,Ocandidate,Dpercent,Rpercent,Opercent,IncumbentParty,Winner,Margin,IncOverPerformance,P2024,P2020,P2016,P2012,P2008,P2004,P2000,Evs,Redistricted,Polls,Chance,Median
OR,Oregon,C2,2014,Jeff Merkley,Monica Wehby,,55.7,36.9,,,,18.8,,,16.08,10.98,12.09,16.35,4.16,0.44,,,,,
RI,Rhode Island,C2,2014,Jack Reed,Mark Zaccaria,,70.6,29.2,,,,41.4,,,20.78,15.51,27.46,27.8,20.75,29.08,,,,,
SC,South Carolina,C2,2014,Brad Hutto,Lindsey Graham,,38.8,54.3,,,,-15.5,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,,,,,
SD,South Dakota,C2,2014,Rick Weiland,Mike Rounds,,29.5,50.4,,,,-20.9,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,,,,,
TN,Tennessee,C2,2014,Gordon Ball,Lamar Alexander,,31.9,61.9,,,,-30,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,,,,,
TX,Texas,C2,2014,David Alameel,John Cornyn,,34.4,61.6,,,,-27.2,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,,,,,
VA,Virginia,C2,2014,Mark Warner,Ed Gillespie,,49.1,48.3,,,,0.8,,,10.11,5.32,3.88,6.3,-8.2,-8.03,,,,,
WV,West Virginia,C2,2014,Natalie Tennay,Shelley Moore Capito,,34.5,62.1,,,,-27.6,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,,,,,
WY,Wyoming,C2,2014,Charlie Hardy,Mike Enzi,,17.4,71.2,,,,-53.8,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,,,,,
AL,Alabama,C3,2016,Ron Crumpton,Richard Shelby,,35.8,64,,,,-28.2,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,,,,,
AK,Alaska,C3,2016,Ray Metcalfe,Lisa Murkowski,Joe Miller,11.6,44.5,29.2,,,RN/A,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,,,,,
AZ,Arizona,C3,2016,Ann Kirtpatrick,John McCain,,40.8,53.7,,,,-12.9,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,,,
AR,Arkansas,C3,2016,Conner Eldridge,John Boozman,,36.3,59.7,,,,-23.4,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,,,,,
CA,California,C3,2016,Kamala Harris,,,,,,,,,,,29.16,30.11,23.12,24.06,9.95,11.8,,,,,
CO,Colorado,C3,2016,Michael Bennet,Darryl Glenn,,50,44.3,,,,5.7,,,13.5,4.91,5.36,8.95,-4.67,-8.36,,,,,
CT,Connecticut,C3,2016,Richard Blumenthal,Dan E. Carter,,63.2,34.6,,,,28.6,,,20.07,13.64,17.33,22.37,10.36,17.47,,,,,
FL,Florida,C3,2016,Patrick Murphy,Marco Rubio,,44.3,52,,,,-7.7,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,,,,,
GA,Georgia,C3,2016,Jim Barksdale,Johnny Isakson,,41,54.8,,,,-13.8,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,,,,,
HI,Hawaii,C3,2016,Brian Schatz,John Carroll,,73.6,22.2,,,,51.4,,,29.46,32.19,42.71,45.27,8.75,18.33,,,,,
ID,Idaho,C3,2016,Jerry Sturgill,Mike Crapo,Ray Writz,27.8,66.1,6,,,-38.3,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,,,,,
IL,Illinois,C3,2016,Tammy Duckworth,Mark Kirk,,54.9,39.8,,,,15.1,,,16.99,17.07,16.84,25.14,10.34,12.02,,,,,
IN,Indiana,C3,2016,Evan Bayh,Todd Young,,42.4,52.1,,,,-9.7,,,-16.07,-19.17,-10.2,1.04,-20.68,-15.64,,,,,
IA,Iowa,C3,2016,Patty Judge,Chuck Grassley,,35.7,60.1,,,,-24.4,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,,,,,
KS,Kansas,C3,2016,Patrick Weisner,Jerry Moran,,32.2,62.1,,,,-29.9,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,,,,,
KY,Kentucky,C3,2016,Jim Gray,Rand Paul,,42.7,57.3,,,,-14.6,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,,,,,
LA,Louisiana,C3,2016,Foster Campbell,John Kennedy,,39.35,60.65,,,,-21.3,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,,,,,
MD,Maryland,C3,2016,Chris Van Hollen,Kathy Szeliga,,60.9,35.7,,,,25.2,,,33.21,26.42,26.07,25.45,12.98,16.39,,,,,
MO,Missouri,C3,2016,Jason Kander,Roy Blunt,,46.2,49.3,,,,-3.1,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,,,,,
NV,Nevada,C3,2016,Catherine Cortez Masto,Joe Heck,,47.1,44.7,,,,2.4,,,2.39,2.42,6.68,12.5,-2.59,-3.54,,,,,
NH,New Hampshire,C3,2016,Maggie Hassan,Kelly Ayotte,,47.97,47.87,,,,0.1,,,7.35,0.37,5.58,9.61,1.37,-1.27,,,,,
NY,New York,C3,2016,Chuck Schumer,Wendy Long,,70.4,27.4,,,,43,,,23.13,22.49,28.18,26.85,18.29,24.98,,,,,
NC,North Carolina,C3,2016,Deborah Ross,Richard Burr,,45.3,51.1,,,,-5.8,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,,,,,
ND,North Dakota,C3,2016,Eliot Glassheim,John Hoeven,,17,78.4,,,,-61.4,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,,,,,
OH,Ohio,C3,2016,Ted Strickland,Rob Portman,,37.1,58,,,,-20.9,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,,,,,
OK,Oklahoma,C3,2016,Mike Workman,James Lankford,,24.5,67.7,,,,-43.2,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,,,
OR,Oregon,C3,2016,Ron Wyden,Mark Callahan,,56.1,33.35,,,,22.75,,,16.08,10.98,12.09,16.35,4.16,0.44,,,,,
PA,Pennsylvania,C3,2016,Katie McGinty,Pat Toomey,,47.2,48.9,,,,-1.7,,,1.16,-0.72,5.38,10.32,2.5,4.17,,,,,
SC,South Carolina,C3,2016,Thomas Dixon,Tim Scott,,37,60.5,,,,-23.5,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,,,,,
SD,South Dakota,C3,2016,Jay Williams,John Thune,,28.2,71.8,,,,-43.6,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,,,,,
UT,Utah,C3,2016,Misty Snow,Mike Lee,,27.1,68.1,,,,-41,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,,,,,
VT,Vermont,C3,2016,Patrick Leahy,Scott Milne,,61.3,33,,,,28.3,,,35.42,26.41,35.6,37.01,20.14,9.93,,,,,
WA,Washington,C3,2016,Patty Murray,Chris Vance,,58.83,40.86,,,,17.97,,,19.2,15.71,14.87,17.17,7.18,5.58,,,,,
WI,Wisconsin,C3,2016,Russ Feingold,Ron Johnson,,46.84,50.19,,,,-3.35,,,0.63,-0.77,6.94,13.91,0.38,0.22,,,,,
AL,Alabama,C2,2017,Doug Jones,Roy Moore,,49.97,48.34,,,,1.63,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,,,,,
MN,Minnesota,C2,2018,Tina Smith,Karin Housley,,53,42.4,,OPEN,,10.6,,,7.12,1.52,7.69,10.24,3.48,2.41,,,8,,
MS,Mississippi,C2,2018,Mike Espy,Cindy Hyde-Smith,,46.4,53.6,,OPEN,,-7.2,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,-9.17,,
AZ,Arizona,C1,2018,Kyrsten Sinema,Martha McSally,,50,47.6,,OPEN,,2.4,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,1.8,,
CA,California,C1,2018,Dianne Feinstein,,,,,,D,,DN/A,,,29.16,30.11,23.12,24.06,9.95,11.8,,,,,
CT,Connecticut,C1,2018,Chris Murphy,Matthew Corey,,59.5,39.4,,D,,20.1,,,20.07,13.64,17.33,22.37,10.36,17.47,,,18,,
DE,Delaware,C1,2018,Tom Carper,Robert Arlett,,60,37.8,,D,,22.2,,,18.97,11.37,18.63,24.99,7.6,13.06,,,37.5,,
FL,Florida,C1,2018,Bill Nelson,Rick Scott,,49.9,50.1,,D,,-0.2,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,,,2.1,,
HI,Hawaii,C1,2018,Mazie Hirono,Ron Curtis,,71.2,28.8,,D,,42.4,,,29.46,32.19,42.71,45.27,8.75,18.33,,,1.15,,
IN,Indiana,C1,2018,Joe Donnelly,Mike Braun,,45,50.9,,D,,-5.9,,,-16.07,-19.17,-10.2,1.04,-20.68,-15.64,,,20.83,,
ME,Maine,C1,2018,Zak Ringelstein,Eric Brakey,Angus King,10.4,35.2,54.3,ID,,19.1,,,9.07,2.96,15.29,17.33,8.99,5.12,,,28,,
MD,Maryland,C1,2018,Ben Cardin,Tony Campbell,,64.9,30.3,,D,,34.6,,,33.21,26.42,26.07,25.45,12.98,16.39,,,25.5,,
MA,Massachusetts,C1,2018,Elizabeth Warren,Geoff Diehl,,60.4,36.2,,D,,24.2,,,33.46,27.2,23.15,25.81,25.16,27.3,,,9.42,,
MI,Michigan,C1,2018,Debbie Stabenow,John James,,52.3,45.8,,D,,6.5,,,2.78,-0.23,9.5,16.47,3.42,5.13,,,21.4,,
MN,Minnesota,C1,2018,Amy Klobuchar,Jim Newberger,,60.3,36.2,,D,,24.1,,,7.12,1.52,7.69,10.24,3.48,2.41,,,-19.33,,
MS,Mississippi,C1,2018,David Baria,Roger Wicker,,39.5,58.5,,R,,-19,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,0.07,,
MO,Missouri,C1,2018,Claire McCaskill,Josh Hawley,,45.6,51.4,,D,,-5.8,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,,,4.86,,
MT,Montana,C1,2018,Jon Tester,Matt Rosendale,,50.3,46.8,,D,,3.5,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,,,-15,,
NE,Nebraska,C1,2018,Jane Raybould,Deb Fischer,,38.6,57.7,,R,,-19.1,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,,,1.58,,
NV,Nevada,C1,2018,Jacky Rosen,Dean Heller,,50.4,45.4,,R,,5,,,2.39,2.42,6.68,12.5,-2.59,-3.54,,,8.8,,
NJ,New Jersey,C1,2018,Bob Menendez,Bob Hugin,,54,42.8,,D,,11.2,,,15.93,14.1,17.79,15.57,6.68,15.84,,,15.4,,
NM,New Mexico,C1,2018,Martin Heinrich,Mick Rich,Gary Johnson,54.1,30.4,15.4,D,,23.7,,,10.79,8.22,10.15,15.13,-0.79,0.06,,,24.6,,
NY,New York,C1,2018,Kirsten Gillibrand,Chele Chiavacci Farley,,67,33,,D,,34,,,23.13,22.49,28.18,26.85,18.29,24.98,,,-10.5,,
ND,North Dakota,C1,2018,Heidi Heitkamp,Kevin Cramer,,44.5,55.5,,D,,-11,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,,,12.43,,
OH,Ohio,C1,2018,Sherrod Brown,Jim Renacci,,53.4,46.6,,D,,6.8,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,,,14.5,,
PA,Pennsylvania,C1,2018,Bob Casey Jr.,Lou Barletta,,55.7,42.6,,D,,13.1,,,1.16,-0.72,5.38,10.32,2.5,4.17,,,21.5,,
RI,Rhode Island,C1,2018,Sheldon Whitehouse,Robert Flanders,,61.6,38.4,,D,,23.2,,,20.78,15.51,27.46,27.8,20.75,29.08,,,-4.47,,
TN,Tennessee,C1,2018,Phil Bredesen,Marsha Blackburn,,43.9,54.7,,OPEN,,-10.8,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,,,-4.5,,
TX,Texas,C1,2018,Beto O'Rourke,Ted Cruz,,48.3,50.9,,R,,-2.6,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,,,-36,,
UT,Utah,C1,2018,Jenny Wilson,Mitt Romney,,30.9,62.6,,OPEN,,-31.7,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,,,38.5,,
VT,Vermont,C1,2018,,Lawrence Zupan,Bernie Sanders,,27.5,67.4,ID,,39.9,,,35.42,26.41,35.6,37.01,20.14,9.93,,,16,,
VA,Virginia,C1,2018,Tim Kaine,Corey Stewart,,57.1,41.1,,D,,16,,,10.11,5.32,3.88,6.3,-8.2,-8.03,,,14,,
WA,Washington,C1,2018,Maria Cantwell,Susan Hutchison,,58.3,41.5,,D,,16.8,,,19.2,15.71,14.87,17.17,7.18,5.58,,,8.25,,
WV,West Virginia,C1,2018,Joe Manchin,Patrick Morrisey,,49.6,46.3,,D,,3.3,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,,,11.62,,
WI,Wisconsin,C1,2018,Tammy Baldwin,Leah Vukmir,,55.4,44.6,,D,,10.8,,,0.63,-0.77,6.94,13.91,0.38,0.22,,,-29,,
WY,Wyoming,C1,2018,Gary Trauner,John Barrasso,,30.1,67.1,,R,,-37,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,,,,,
AZ,Arizona,C3,2020,Mark Kelly,Martha McSally,,51.2,48.8,,OPEN,,2.4,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,5.93,,
GA,Georgia,C3,2020,Raphael Warnock,Kelly Loeffler,,51,49,,OPEN,,2,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,,,1.5,,
AL,Alabama,C2,2020,Doug Jones,Tommy Tubberville,,39.7,60.1,,D,,-20.4,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,,,-12.17,,
AK,Alaska,C2,2020,,Dan Sullivan,Al Gross,,53.9,41.2,R,,-12.7,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,,,-5.5,,
AR,Arkansas,C2,2020,,Tom Cotton,Ricky Dale Harrington Jr.,,66.5,33.5,R,,-33,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,,,-45,,
CO,Colorado,C2,2020,John Hickenlooper,Cory Gardner,,53.5,44.2,,R,,9.3,,,13.5,4.91,5.36,8.95,-4.67,-8.36,,,10.43,,
DE,Delaware,C2,2020,Chris Coons,Laurie Wirzke,,59.4,37.9,,D,,21.5,,,18.97,11.37,18.63,24.99,7.6,13.06,,,30,,
GA,Georgia,C2,2020,Jon Ossoff,David Perdue,,50.6,49.4,,R,,1.2,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,,,1.89,,
ID,Idaho,C2,2020,Paulette Jordan,Jim Risch,,33.3,62.6,,R,,-29.3,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,,,-26,,
IL,Illinois,C2,2020,Dick Durbin,Mark Curran,,54.9,38.9,,D,,16,,,16.99,17.07,16.84,25.14,10.34,12.02,,,23.5,,
IA,Iowa,C2,2020,Theresa Greenfield,Joni Ernst,,45.2,51.8,,R,,-6.6,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,,,-0.43,,
KS,Kansas,C2,2020,Barbara Bollier,Roger Marshall,,41.8,53.2,,OPEN,,-11.4,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,,,-5.33,,
KY,Kentucky,C2,2020,Amy McGrath,Mitch McConnell,,38.2,57.8,,R,,-19.6,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,,,-8.25,,
LA,Louisiana,C2,2020,Adrian Perkins/Champ Edwards/Antoine Pierce,Bill Cassidy,,32.8,59.3,,R,,-26.5,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,,,-22,,
ME,Maine,C2,2020,Sara Gideon,Susan Collins,,42.4,51,,R,,-8.6,,,9.07,2.96,15.29,17.33,8.99,5.12,,,3.86,,
MA,Massachusetts,C2,2020,Ed Markey,Kevin O'Connor,,66.2,33,,D,,33.2,,,33.46,27.2,23.15,25.81,25.16,27.3,,,35,,
MI,Michigan,C2,2020,Gary Peters,John James,,49.9,48.2,,D,,1.7,,,2.78,-0.23,9.5,16.47,3.42,5.13,,,8.8,,
MN,Minnesota,C2,2020,Tina Smith,Jason Lewis,,48.8,43.5,,D,,5.3,,,7.12,1.52,7.69,10.24,3.48,2.41,,,10.25,,
MS,Mississippi,C2,2020,Mike Espy,Cindy Hyde-Smith,,44.1,54.1,,R,,-10,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,-5.5,,
MT,Montana,C2,2020,Steve Bullock,Steve Daines,,45,55,,R,,-10,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,,,-2.13,,
NE,Nebraska,C2,2020,Chris Janicek,Ben Sasse,Preston Love Jr.,24.4,62.7,6.3,R,,-38.3,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,,,-30,,
NH,New Hampshire,C2,2020,Jeanne Shaheen,Corky Messner,,56.7,40.9,,D,,15.8,,,7.35,0.37,5.58,9.61,1.37,-1.27,,,15,,
NJ,New Jersey,C2,2020,Cory Booker,Rik Mehta,,57.2,40.9,,D,,16.3,,,15.93,14.1,17.79,15.57,6.68,15.84,,,24.8,,
NM,New Mexico,C2,2020,Ben Ray Lujan,Mark Ronchetti,,51.7,45.6,,OPEN,,6.1,,,10.79,8.22,10.15,15.13,-0.79,0.06,,,9,,
NC,North Carolina,C2,2020,Cal Cunningham,Thom Tillis,,46.9,48.7,,R,,-1.8,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,,,3.2,,
OK,Oklahoma,C2,2020,Abby Broyles,Jim Inhofe,,32.8,62.9,,R,,-30.1,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,-20,,
OR,Oregon,C2,2020,Jeff Merkley,Jo Rae Perkins,,56.9,39.3,,D,,17.6,,,16.08,10.98,12.09,16.35,4.16,0.44,,,20,,
RI,Rhode Island,C2,2020,Jack Reed,Allen Waters,,66.6,33.4,,D,,33.2,,,20.78,15.51,27.46,27.8,20.75,29.08,,,,,
SC,South Carolina,C2,2020,Jaime Harrison,Lindsey Graham,,44.2,54.5,,R,,-10.3,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,,,-3,,
SD,South Dakota,C2,2020,Dan Ahlers,Mike Rounds,,34.3,65.7,,R,,-31.4,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,,,-17,,
TN,Tennessee,C2,2020,Marquita Bradshaw,Bill Hagetry,,35.2,62.2,,OPEN,,-27,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,,,-21,,
TX,Texas,C2,2020,MJ Hegar,John Cornyn,,43.9,53.5,,R,,-9.6,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,,,-6.22,,
VA,Virginia,C2,2020,Mark Warner,Daniel Gade,,56,43.9,,D,,12.1,,,10.11,5.32,3.88,6.3,-8.2,-8.03,,,17.88,,
WV,West Virginia,C2,2020,Paula Jean Swearengin,Shelley Moore Capito,,27,70.3,,R,,-43.3,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,,,-20,,
WY,Wyoming,C2,2020,Merav Ben-David,Cynthia Lummis,,26.9,73.1,,OPEN,,-46.2,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,,,-30,,
OK,Oklahoma,C2,2022,Kendra Horn,Markwayne Mullin,,35.2,61.8,,OPEN,,-26.6,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,-12.67,,
AL,Alabama,C3,2022,Will Boyd,Katie Britt,,30.9,66.6,,OPEN,,-35.7,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,,,-30,,
AK,Alaska,C3,2022,,Lisa Murkowski,Kelly Tshibbaka,,53.7,46.3,R,,RN/A,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,,,-25,,
AZ,Arizona,C3,2022,Mark Kelly,Blake Masters,,51.4,46.5,,D,,4.9,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,1.5,,
AR,Arkansas,C3,2022,Natalie James,John Boozman,,31,65.8,,R,,-34.8,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,,,-24.5,,
CA,California,C3,2022,Alex Padilla,Mark Meuser,,61.1,38.9,,OPEN,,22.2,,,29.16,30.11,23.12,24.06,9.95,11.8,,,23.5,,
CO,Colorado,C3,2022,Michael Bennet,Joe O'Dea,,55.9,41.3,,D,,14.6,,,13.5,4.91,5.36,8.95,-4.67,-8.36,,,8.4,,
CT,Connecticut,C3,2022,Richard Blumenthal,Leora Levy,,57.5,42.5,,D,,15,,,20.07,13.64,17.33,22.37,10.36,17.47,,,13.6,,
FL,Florida,C3,2022,Val Demings,Marco Rubio,,41.3,57.7,,R,,-16.4,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,,,-8.8,,
GA,Georgia,C3,2022,Raphael Warnock,Herschel Walker,,51.4,48.6,,D,,2.8,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,,,3.4,,
HI,Hawaii,C3,2022,Brian Schatz,Rob McDermott,,71.2,26,,D,,45.2,,,29.46,32.19,42.71,45.27,8.75,18.33,,,,,
ID,Idaho,C3,2022,David Roth,Mike Crapo,Scott Cleveland,28.7,60.7,8.5,R,,-32,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,,,,,
IL,Illinois,C3,2022,Tammy Duckworth,Kathy Salvi,,56.8,41.5,,D,,15.3,,,16.99,17.07,16.84,25.14,10.34,12.02,,,15.3,,
IN,Indiana,C3,2022,Thomas McDermott Jr.,Todd Young,,37.9,58.6,,R,,-20.7,,,-16.07,-19.17,-10.2,1.04,-20.68,-15.64,,,-11,,
IA,Iowa,C3,2022,Michael Franken,Chuck Grassley,,43.8,56,,R,,-12.2,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,,,-9.6,,
KS,Kansas,C3,2022,Mark Holland,Jerry Moran,,37,60,,R,,-23,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,,,-22,,
KY,Kentucky,C3,2022,Charles Booker,Rand Paul,,38.2,61.8,,R,,-23.6,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,,,-16,,
LA,Louisiana,C3,2022,Gary Chambers/Luke Mixon,John Kennedy,,21.1,61.6,,R,,-40.5,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,,,-36,,
MD,Maryland,C3,2022,Chris Van Hollen,Chris Chaffee,,65.8,34.2,,D,,31.6,,,33.21,26.42,26.07,25.45,12.98,16.39,,,23,,
MO,Missouri,C3,2022,Trudy Busch Valentine,Eric Schmitt,,42.2,55.4,,OPEN,,-13.2,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,,,-11.2,,
NV,Nevada,C3,2022,Catherine Cortez Masto,Adam Laxalt,,48.8,48,,D,,0.8,,,2.39,2.42,6.68,12.5,-2.59,-3.54,,,-1.4,,
NH,New Hampshire,C3,2022,Maggie Hassan,Don Bolduc,,53.6,44.4,,D,,9.2,,,7.35,0.37,5.58,9.61,1.37,-1.27,,,2.2,,
NY,New York,C3,2022,Chuck Schumer,Joe Pinion,,56.8,42.8,,D,,14,,,23.13,22.49,28.18,26.85,18.29,24.98,,,17.7,,
NC,North Carolina,C3,2022,Cheri Beasley,Ted Budd,,47.3,50.5,,OPEN,,-3.2,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,,,-4.3,,
ND,North Dakota,C3,2022,Katrina Christiansen,John Hoeven,Rick Becker,25,56.4,18.5,R,,-31.4,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,,,,,
OH,Ohio,C3,2022,Tim Ryan,JD Vance,,46.9,53,,OPEN,,-6.1,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,,,-6.2,,
OK,Oklahoma,C3,2022,Madison Horn,James Lankford,,32.1,64.3,,R,,-32.2,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,-21.9,,
OR,Oregon,C3,2022,Ron Wyden,Jo Rae Perkins,,55.9,41,,R,,14.9,,,16.08,10.98,12.09,16.35,4.16,0.44,,,14.9,,
PA,Pennsylvania,C3,2022,John Fetterman,Mehmet Oz,,51.2,46.3,,OPEN,,4.9,,,1.16,-0.72,5.38,10.32,2.5,4.17,,,-0.5,,
SC,South Carolina,C3,2022,Krystle Matthews,Tim Scott,,37,62.9,,R,,-25.9,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,,,-17,,
SD,South Dakota,C3,2022,Brian Bengs,John Thune,,26.2,69.6,,R,,-43.4,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,,,-28,,
UT,Utah,C3,2022,,Mike Lee,Evan McMullin,,53.1,42.8,R,,-53.1,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,,,-9.8,,
VT,Vermont,C3,2022,Peter Welch,Gerald Malloy,,68.5,28.1,,OPEN,,40.4,,,35.42,26.41,35.6,37.01,20.14,9.93,,,32.5,,
WA,Washington,C3,2022,Patty Murray,Tiffany Smiley,,57.2,42.6,,D,,14.6,,,19.2,15.71,14.87,17.17,7.18,5.58,,,4.7,,
WI,Wisconsin,C3,2022,Mandela Barnes,Ron Johnson,,49.4,50.4,,R,,-1,,,0.63,-0.77,6.94,13.91,0.38,0.22,,,-3.3,,
NE,Nebraska,C2,2024,Preston Love Jr.,Pete Ricketts,,37.4,62.6,,OPEN,,,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,,,-17.03,,
AZ,Arizona,C1,2024,Ruben Gallego,Kari Lake,,50.1,47.6,,OPEN,,,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,5.66,,
CA,California,C1,2024,Adam Schiff,Steve Garvey,,58.9,41.1,,OPEN,,,,,29.16,30.11,23.12,24.06,9.95,11.8,,,23.41,,
CT,Connecticut,C1,2024,Chris Murphy,Matthew Corey,,58.6,39.7,,D,,,,,20.07,13.64,17.33,22.37,10.36,17.47,,,16,,
DE,Delaware,C1,2024,Lisa Blunt Rochester,Eric Hansen,,56.5,39.5,,OPEN,,,,,18.97,11.37,18.63,24.99,7.6,13.06,,,20,,
FL,Florida,C1,2024,Debbie Muscarel-Powell,Rick Scott,,42.8,55.6,,R,,,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,,,-4.98,,
HI,Hawaii,C1,2024,Mazie Hirono,Bob McDermott,,64.6,31.9,,D,,,,,29.46,32.19,42.71,45.27,8.75,18.33,,,,,
IN,Indiana,C1,2024,Valerie McCray,Jim Banks,,38.7,58.7,,OPEN,,,,,-16.07,-19.17,-10.2,1.04,-20.68,-15.64,,,-14,,
ME,Maine,C1,2024,David Costello,Demitroula Kouzounas,Angus King,10.7,34.7,52,ID,,,,,9.07,2.96,15.29,17.33,8.99,5.12,,,20.7,,
MD,Maryland,C1,2024,Angela Alosbrooks,Larry Hogan,,54.7,43,,OPEN,,,,,33.21,26.42,26.07,25.45,12.98,16.39,,,13.96,,
MA,Massachusetts,C1,2024,Elizabeth Warren,John Deaton,,59.8,40,,D,,,,,33.46,27.2,23.15,25.81,25.16,27.3,,,22.23,,
MI,Michigan,C1,2024,Elissa Slotkin,Mike Rogers,,48.6,48.3,,OPEN,,,,,2.78,-0.23,9.5,16.47,3.42,5.13,,,4.26,,
MN,Minnesota,C1,2024,Amy Klobuchar,Royce White,,56.3,40.5,,D,,,,,7.12,1.52,7.69,10.24,3.48,2.41,,,13.29,,
MS,Mississippi,C1,2024,Ty Pinkins,Roger Wicker,,36.5,63.2,,R,,,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,-13,,
MO,Missouri,C1,2024,Lucas Kunce,Josh Hawley,,41.8,55.6,,R,,,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,,,-7.36,,
